id,city,age,protectionorder,why1,killer1,killingway1,statusofkiller,year
1049, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015
1050, Antalya , Resit ,   Var ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015
1051, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Eski Nisanlisi,Atesli Silah, Intihar ,2015
1052, Antalya , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2015
1053, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2015
1056, Aydin , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015
1058, Balikesir , Resit ,   Yok ,Bosanma Talebi,Kocasi,Tespit Edilemeyen, Tutuklu ,2015
1061, Bingol , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Tutuklu ,2015
1062, Bingol , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2015
1064, Burdur , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015
1065, Bursa , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2015
1066, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015
1067, Bursa , Resit ,   Yok ,Reddedilme,Amcasi,Kesici Alet, Tutuklu ,2015
1068, Bursa , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2015
1069, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Bogulma, Tutuklu ,2015
1070, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015
1072, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015
1074, Canakkale , Resit ,   Yok ,Tartisma ,Kocasi,Kesici Alet,Tespit Edilemeyen,2015
1075, Canakkale , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2015
1076, Canakkale , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2015
1079, Diyarbakir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015
1080, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Amcasi,Tespit Edilemeyen, Sorusturma Suruyor ,2015
1081, Diyarbakir , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2015
1083, Duzce , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2015
1084, Edirne , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2015
1086, Elazig , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015
1087, Elazig , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015
1091, Eskisehir , Resit ,   Var  ,Kiskanclik,Eski Kocasi,Kesici Alet, Tutuklu ,2015
1092, Gaziantep , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2015
1094, Gaziantep , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2015
1096, Gaziantep , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015
1100, Gaziantep , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Darp, Tutuklu ,2015
1103, Istanbul , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015
1104, Istanbul , Resit ,   Yok ,Para,Tespit Edilemeyen,Kesici Alet, Tespit Edilemeyen,2015
1105, Istanbul , Resit ,   Yok ,Haset,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015
1107, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kardesi,Kesici Alet, Tutuklu ,2015
1108, Istanbul , Resit ,   Yok ,Husumet ,Akrabasi,Darp, Tutuklu ,2015
1110, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015
1111, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2015
1112, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Intihar ,2015
1115, Istanbul , Resit Degil ,   Yok ,Bosanma Talebi,Babasi,Atesli Silah, Intihar ,2015
1116, Istanbul , Resit ,   Yok ,Hirsizlik,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015
1117, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015
